status,path,category,decision,evidence_or_condition
" M","notebooks/visualization/01_graph_sanity_checks.ipynb","H. TEMPORARY","restore metadata-only change after approval","Only HEAD diff is kernelspec display_name; 8.13 MB file has 8.07 MB embedded outputs and absolute paths"
" M","notebooks/visualization/02_graph_models_20u_to_200u_scaling_results.ipynb","H. TEMPORARY","restore metadata-only change after approval","Only HEAD diff is kernelspec display_name; notebook reads ignored stale experiment_summary_clean_final32_complete_clean.csv"
" M","src/models/static_gcn.py","I. REVIEW REQUIRED","audit and test in a separate commit","Adds dense GraphSAGE convolution selection; default GCN behavior remains but positional API compatibility and GraphSAGE tests need review"
" M","src/training/train_static_gcn.py","I. REVIEW REQUIRED","audit and test with model change in a separate commit","Adds temporal-final-snapshot conversion reusable split IDs and convolution selection; 16 experiments depend on these paths"
"??","docs/experiment_naming_convention.md","C. COMMIT — documentation","commit with documentation group","Generated naming policy is lightweight and matches the committed registry builder"
"??","experiments/","D. COMMIT — lightweight reproducibility evidence","track allowlisted JSON CSV and logs only","927 non-checkpoint files total 7.99 MB; ignored checkpoints remain category F"
"??","notebooks/07_evolvegcn_500u_top500_vs_750u_top1000_results.ipynb","G. DUPLICATE — select one canonical copy","exclude and remove only after approval","Cell sources and outputs match visualization/07; visualization location is canonical"
"??","notebooks/validation/","B. COMMIT — scientific notebook","commit validation notebook after output/path sanitation","Raw-dataset integrity validation; 37.6 KB with 12.9 KB outputs and absolute paths only in outputs"
"??","notebooks/visualization/03_graph_models_20u_to_500u_clean_results.ipynb","E. REGENERATE LATER","exclude until rebuilt from controlled registry","Historical mixed-protocol scaling view; 996 KB with 945 KB outputs"
"??","notebooks/visualization/04_knn_ablation_500u_h64_results.ipynb","I. REVIEW REQUIRED","review protocol and replace hard-coded project root before commit","Controlled k ablation but source hard-codes /home/ml/thesis-camels; 677 KB with 619 KB outputs"
"??","notebooks/visualization/05_evolvegcn_h_diagnostic_investigation.ipynb","B. COMMIT — scientific notebook","commit with tested diagnostic scripts","Diagnostic synthesis; 121 KB with 67 KB outputs and no absolute paths"
"??","notebooks/visualization/06_normalization_ablation_top500.ipynb","B. COMMIT — scientific notebook","commit after clearing or sanitizing outputs","Controlled normalization ablation; 1.38 MB with 1.08 MB outputs and absolute paths only in outputs"
"??","notebooks/visualization/07_evolvegcn_500u_top500_vs_750u_top1000_results.ipynb","E. REGENERATE LATER","canonical location but regenerate after canonical runs","Depends on stale ignored evolvegcn_500top500_vs_750top1000_5seed_table.csv"
"??","notebooks/visualization/08_evolvegcn_750u_top1000_head_ablation_results.ipynb","B. COMMIT — scientific notebook","commit after clearing or sanitizing outputs","Controlled head ablation; 1.13 MB with 1.08 MB outputs"
"??","notebooks/visualization/09_evolvegcn_750u_top1000_mean_vs_meanmax_pooling_results.ipynb","B. COMMIT — scientific notebook","commit after clearing or sanitizing outputs","Controlled pooling ablation; 1.31 MB with 1.25 MB outputs"
"??","presentation_assets/","E. REGENERATE LATER","exclude until notebook 07 is regenerated","Ten PNG exports totaling 1.69 MB derived from the stale notebook-07 comparison"
"??","reports/experiment_registry/analysis_artifact_index.csv","E. REGENERATE LATER","regenerate after canonical runs","Builder output dated 2026-07-11 and predates current experiment state"
"??","reports/experiment_registry/baseline_validation_audit.md","D. COMMIT — lightweight reproducibility evidence","safe after its stated confirmation is resolved","Scientific audit dated 2026-07-23; conclusion is likely valid but explicitly conditional"
"??","reports/experiment_registry/canonical_scaling_family.csv","E. REGENERATE LATER","regenerate after canonical runs","Stale pre-canonical family extract"
"??","reports/experiment_registry/canonical_scaling_live_status.csv","E. REGENERATE LATER","wait for five canonical runs","Live snapshot currently records only 10 of 15 compatible runs complete"
"??","reports/experiment_registry/controlled_experiment_matrix.csv","E. REGENERATE LATER","refresh after canonical runs","Pre-run generated comparison matrix"
"??","reports/experiment_registry/current_thesis_execution_status.md","E. REGENERATE LATER","wait for five canonical runs","Live status snapshot will change as runs finish"
"??","reports/experiment_registry/experiment_family_summary.csv","E. REGENERATE LATER","regenerate after canonical runs","Builder output dated 2026-07-11"
"??","reports/experiment_registry/family_compatibility_audit.md","E. REGENERATE LATER","regenerate after canonical runs","Scientific audit derived from stale registry outputs"
"??","reports/experiment_registry/final_table_readiness_status.md","E. REGENERATE LATER","wait for five canonical runs","Live table-readiness snapshot"
"??","reports/experiment_registry/incomplete_or_duplicate_experiments.csv","E. REGENERATE LATER","regenerate after canonical runs","Builder output dated 2026-07-11"
"??","reports/experiment_registry/master_experiment_registry.csv","E. REGENERATE LATER","regenerate after canonical runs","Source-of-truth output is stale: metadata records branch main commit f260a566 and dirty state"
"??","reports/experiment_registry/master_experiment_registry.md","E. REGENERATE LATER","regenerate after canonical runs","Human summary of stale master registry"
"??","reports/experiment_registry/missing_run_decision_matrix.csv","H. TEMPORARY","retain locally until runs finish then exclude","Temporary execution planning matrix whose missing-run rows become obsolete"
"??","reports/experiment_registry/professor_request_experiment_inventory.md","E. REGENERATE LATER","regenerate after canonical runs","Professor-facing generated inventory is based on stale registry"
"??","reports/experiment_registry/professor_table_blueprint.md","D. COMMIT — lightweight reproducibility evidence","commit now as scientific reporting policy","Stable rule set for protocol-compatible mean and sample-SD tables"
"??","reports/experiment_registry/registry_build_metadata.json","E. REGENERATE LATER","regenerate after canonical runs","Explicitly records obsolete branch commit and dirty state"
"??","reports/experiment_registry/registry_validation_report.md","E. REGENERATE LATER","regenerate after canonical runs","Validation of the stale 2026-07-11 registry build"
"??","reports/experiment_registry/source_code_provenance_audit.md","E. REGENERATE LATER","refresh after source commits","Claims a six-file 883-insertion working diff that no longer describes HEAD"
"??","reports/experiment_registry/thesis_completion_blueprint.md","H. TEMPORARY","retain locally until completion decisions are executed","Planning document rather than durable experimental evidence"
"??","reports/experiment_registry/thesis_seed_completion_plan.md","E. REGENERATE LATER","replace after canonical runs","Pre-pipeline seed plan is stale"
"??","scripts/run_knn_ablation_500u_training.sh","A. COMMIT — reusable source code","commit as historical experiment runner after shell review","Reproduces completed k=4/6/12 h64 Static GCN and EvolveGCN-H families; bash -n passes"
"??","scripts/run_knn_ablation_k8_h64.sh","A. COMMIT — reusable source code","commit with companion historical runner after shell review","Completes controlled k=8 h64 family; bash -n passes"
"??","src/evaluation/diagnose_embedding_distribution_shift.py","A. COMMIT — reusable source code","commit in representation-diagnostics group","Reusable CLI JSON diagnostic; depends on torch numpy sklearn and shared representation extractor"
"??","src/evaluation/diagnose_embedding_feature_stability.py","A. COMMIT — reusable source code","commit in representation-diagnostics group","Reusable CLI JSON diagnostic; depends on torch numpy and shared representation extractor"
"??","src/evaluation/diagnose_embedding_neighborhood_consistency.py","A. COMMIT — reusable source code","commit in representation-diagnostics group","Reusable CLI JSON diagnostic; depends on torch numpy and shared representation extractor"
"??","src/evaluation/diagnose_embedding_probe_splits.py","A. COMMIT — reusable source code","commit in representation-diagnostics group","Reusable CLI JSON diagnostic; depends on torch numpy and shared representation extractor"
"??","src/evaluation/diagnose_embedding_target_relationship.py","A. COMMIT — reusable source code","commit in representation-diagnostics group","Reusable CLI JSON diagnostic; depends on torch numpy and shared representation extractor"
"??","src/evaluation/diagnose_evolvegcn_h_feature_variance.py","A. COMMIT — reusable source code","commit in collapse-diagnostics group","One-off scientific probe exposed as a CLI; writes JSON under experiment diagnostics by default"
"??","src/evaluation/diagnose_evolvegcn_h_head_analysis.py","A. COMMIT — reusable source code","commit in collapse-diagnostics group","One-off head probe exposed as a CLI; writes JSON under experiment diagnostics by default"
"??","src/evaluation/diagnose_evolvegcn_h_layer1_activations.py","A. COMMIT — reusable source code","commit in collapse-diagnostics group","One-off activation probe exposed as a CLI; writes JSON under experiment diagnostics by default"
"??","src/evaluation/diagnose_evolvegcn_h_layer_variance.py","A. COMMIT — reusable source code","commit in collapse-diagnostics group","One-off layer probe exposed as a CLI; writes JSON under experiment diagnostics by default"
"??","src/evaluation/diagnose_evolvegcn_h_regressor_head.py","A. COMMIT — reusable source code","commit in collapse-diagnostics group","One-off regressor-head probe exposed as a CLI; writes JSON under experiment diagnostics by default"
"??","src/evaluation/diagnose_evolvegcn_h_representations.py","A. COMMIT — reusable source code","commit first in representation-diagnostics group","Shared EvolveGCN-H representation extraction core and CLI"
"??","src/evaluation/diagnose_evolvegcn_h_variance_flow.py","A. COMMIT — reusable source code","commit in collapse-diagnostics group","One-off variance-flow probe exposed as a CLI; writes JSON under experiment diagnostics by default"
"??","src/evaluation/diagnose_graph_vs_summary_baseline.py","A. COMMIT — reusable source code","commit in collapse-diagnostics group","Exploratory graph-versus-summary sklearn probe; reads checkpoint/dataset and writes diagnostic JSON"
"??","src/evaluation/diagnose_head_vs_optimal_linear_solution.py","A. COMMIT — reusable source code","commit in collapse-diagnostics group","One-off optimal-linear-head comparison CLI"
"??","src/evaluation/diagnose_prediction_collapse_summary.py","A. COMMIT — reusable source code","commit in lightweight-diagnostics group","Reusable prediction-CSV summarizer; explicit output path and no checkpoint load"
"??","src/evaluation/diagnose_predictions.py","G. DUPLICATE — select one canonical copy","exclude in favor of diagnose_prediction_collapse_summary.py","Older pandas prediction diagnostic is functionally superseded"
"??","src/evaluation/diagnose_split_target_distribution.py","A. COMMIT — reusable source code","commit in representation-diagnostics group","Reusable split/target CLI diagnostic"
"??","src/evaluation/diagnose_summary_vs_embedding_combined.py","A. COMMIT — reusable source code","commit in collapse-diagnostics group","One-off combined-representation comparison CLI"
"??","src/evaluation/run_summary_feature_baseline.py","A. COMMIT — reusable source code","commit in baseline-runner group after overwrite-safety tests","Reusable sklearn summary baseline runner; creates or reuses an experiment directory"
"??","src/evaluation/run_summary_mlp_baseline.py","A. COMMIT — reusable source code","commit in baseline-runner group after overwrite-safety tests","Reusable torch MLP summary baseline runner; creates or reuses an experiment directory"
"!!","data/","F. IGNORE — dataset, checkpoint, cache, log, large artifact","keep ignored and store externally","46.09 GB allocated; includes processed .pt files up to 15.13 GB"
"!!","envs/","F. IGNORE — dataset, checkpoint, cache, log, large artifact","keep ignored","Local Python environment"
"!!","experiments/**/checkpoints/ (139 status entries)","F. IGNORE — dataset, checkpoint, cache, log, large artifact","keep every checkpoint directory ignored","139 .pt checkpoints total 13.85 GB; 18 files exceed 100 MiB"
"!!","graph_sanity_outputs.tar.gz","F. IGNORE — dataset, checkpoint, cache, log, large artifact","keep ignored or store externally","13.59 MB generated archive"
"!!","logs/","F. IGNORE — dataset, checkpoint, cache, log, large artifact","keep ignored","Generated training logs; approximately 0.73 MB"
"!!","outputs/","F. IGNORE — dataset, checkpoint, cache, log, large artifact","keep ignored and regenerate","Generated summaries and notebook tables; approximately 101 MB"
"!!","scripts/__pycache__/","F. IGNORE — dataset, checkpoint, cache, log, large artifact","keep ignored","Python bytecode cache"
"!!","scripts/experiment_pipeline/__pycache__/","F. IGNORE — dataset, checkpoint, cache, log, large artifact","keep ignored","Python bytecode cache"
"!!","src/__pycache__/","F. IGNORE — dataset, checkpoint, cache, log, large artifact","keep ignored","Python bytecode cache"
"!!","src/data/__pycache__/","F. IGNORE — dataset, checkpoint, cache, log, large artifact","keep ignored","Python bytecode cache"
"!!","src/evaluation/__pycache__/","F. IGNORE — dataset, checkpoint, cache, log, large artifact","keep ignored","Python bytecode cache"
"!!","src/models/__pycache__/","F. IGNORE — dataset, checkpoint, cache, log, large artifact","keep ignored","Python bytecode cache"
"!!","src/training/__pycache__/","F. IGNORE — dataset, checkpoint, cache, log, large artifact","keep ignored","Python bytecode cache"
